Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 12, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 31,457,280
  lm_head                 : 5,242,880
  transformer_matrices    : 58,983,360
  scalars                 : 24
  total                   : 100,926,424
Estimated FLOPs per token: 5.033222e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011059 | lrm: 1.00 | dt: 867ms | tok/sec: 75,567 | mfu: 3.8% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.895578 | lrm: 1.00 | dt: 755ms | tok/sec: 86,829 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.510854 | lrm: 1.00 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.106956 | lrm: 1.00 | dt: 756ms | tok/sec: 86,693 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.757889 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.469204 | lrm: 1.00 | dt: 756ms | tok/sec: 86,712 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.237580 | lrm: 1.00 | dt: 756ms | tok/sec: 86,687 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.060260 | lrm: 1.00 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.906242 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.759967 | lrm: 1.00 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.630212 | lrm: 1.00 | dt: 756ms | tok/sec: 86,656 | mfu: 4.4% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.524231 | lrm: 1.00 | dt: 757ms | tok/sec: 86,623 | mfu: 4.4% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.433988 | lrm: 1.00 | dt: 815ms | tok/sec: 80,447 | mfu: 4.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.364057 | lrm: 1.00 | dt: 757ms | tok/sec: 86,608 | mfu: 4.4% | epoch: 1 | remaining: 298s    
step 00156 (36.6%) | loss: 3.981108 | lrm: 1.00 | dt: 756ms | tok/sec: 86,691 | mfu: 4.4% | epoch: 1 | remaining: 189s    
step 00157 (36.9%) | loss: 3.982240 | lrm: 1.00 | dt: 756ms | tok/sec: 86,710 | mfu: 4.4% | epoch: 1 | remaining: 189s    
step 00158 (37.1%) | loss: 3.981091 | lrm: 1.00 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 188s    
step 00159 (37.4%) | loss: 3.977174 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 187s    
step 00160 (37.6%) | loss: 3.971362 | lrm: 1.00 | dt: 756ms | tok/sec: 86,705 | mfu: 4.4% | epoch: 1 | remaining: 186s    
step 00161 (37.9%) | loss: 3.956778 | lrm: 1.00 | dt: 756ms | tok/sec: 86,679 | mfu: 4.4% | epoch: 1 | remaining: 186s    
step 00162 (38.1%) | loss: 3.952009 | lrm: 1.00 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 185s    
step 00163 (38.4%) | loss: 3.947531 | lrm: 1.00 | dt: 756ms | tok/sec: 86,695 | mfu: 4.4% | epoch: 1 | remaining: 184s    
step 00164 (38.6%) | loss: 3.933388 | lrm: 1.00 | dt: 756ms | tok/sec: 86,667 | mfu: 4.4% | epoch: 1 | remaining: 183s    
step 00165 (38.9%) | loss: 3.930019 | lrm: 1.00 | dt: 756ms | tok/sec: 86,676 | mfu: 4.4% | epoch: 1 | remaining: 183s    
step 00166 (39.2%) | loss: 3.915362 | lrm: 1.00 | dt: 756ms | tok/sec: 86,679 | mfu: 4.4% | epoch: 1 | remaining: 182s    
step 00167 (39.4%) | loss: 3.908934 | lrm: 1.00 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 181s    
step 00168 (39.7%) | loss: 3.914410 | lrm: 1.00 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 180s    
step 00169 (39.9%) | loss: 3.910100 | lrm: 1.00 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 180s    
step 00170 (40.2%) | loss: 3.925900 | lrm: 1.00 | dt: 756ms | tok/sec: 86,693 | mfu: 4.4% | epoch: 1 | remaining: 179s    
step 00171 (40.4%) | loss: 3.936561 | lrm: 1.00 | dt: 756ms | tok/sec: 86,656 | mfu: 4.4% | epoch: 1 | remaining: 178s    
step 00172 (40.7%) | loss: 3.926634 | lrm: 1.00 | dt: 756ms | tok/sec: 86,677 | mfu: 4.4% | epoch: 1 | remaining: 177s    
step 00173 (40.9%) | loss: 3.922769 | lrm: 1.00 | dt: 789ms | tok/sec: 83,063 | mfu: 4.2% | epoch: 1 | remaining: 176s    
step 00174 (41.2%) | loss: 3.925014 | lrm: 1.00 | dt: 781ms | tok/sec: 83,861 | mfu: 4.3% | epoch: 1 | remaining: 176s    
step 00175 (41.4%) | loss: 3.913808 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 175s    
step 00176 (41.7%) | loss: 3.915977 | lrm: 1.00 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 174s    
step 00177 (41.9%) | loss: 3.903344 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 173s    
step 00178 (42.2%) | loss: 3.904705 | lrm: 1.00 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 173s    
step 00179 (42.4%) | loss: 3.889108 | lrm: 1.00 | dt: 756ms | tok/sec: 86,691 | mfu: 4.4% | epoch: 1 | remaining: 172s    
step 00180 (42.7%) | loss: 3.876574 | lrm: 1.00 | dt: 756ms | tok/sec: 86,667 | mfu: 4.4% | epoch: 1 | remaining: 171s    
step 00181 (43.0%) | loss: 3.873424 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 170s    
step 00182 (43.2%) | loss: 3.875521 | lrm: 1.00 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 170s    
step 00183 (43.5%) | loss: 3.874828 | lrm: 1.00 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 169s    
step 00184 (43.7%) | loss: 3.871990 | lrm: 1.00 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 168s    
step 00185 (44.0%) | loss: 3.865581 | lrm: 1.00 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 167s    
step 00186 (44.2%) | loss: 3.870585 | lrm: 1.00 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 167s    
step 00187 (44.5%) | loss: 3.871483 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 166s    
step 00188 (44.7%) | loss: 3.868801 | lrm: 1.00 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 165s    
step 00189 (45.0%) | loss: 3.878843 | lrm: 1.00 | dt: 756ms | tok/sec: 86,674 | mfu: 4.4% | epoch: 1 | remaining: 164s    
step 00190 (45.2%) | loss: 3.873083 | lrm: 1.00 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 164s    
step 00191 (45.5%) | loss: 3.882357 | lrm: 1.00 | dt: 756ms | tok/sec: 86,686 | mfu: 4.4% | epoch: 1 | remaining: 163s    
step 00192 (45.7%) | loss: 3.886656 | lrm: 1.00 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 162s    
step 00193 (46.0%) | loss: 3.897223 | lrm: 1.00 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 161s    
step 00194 (46.2%) | loss: 3.886404 | lrm: 1.00 | dt: 756ms | tok/sec: 86,690 | mfu: 4.4% | epoch: 1 | remaining: 161s    
step 00195 (46.5%) | loss: 3.879380 | lrm: 1.00 | dt: 756ms | tok/sec: 86,687 | mfu: 4.4% | epoch: 1 | remaining: 160s    
step 00196 (46.7%) | loss: 3.863633 | lrm: 1.00 | dt: 813ms | tok/sec: 80,584 | mfu: 4.1% | epoch: 1 | remaining: 159s    
step 00197 (47.0%) | loss: 3.853268 | lrm: 1.00 | dt: 757ms | tok/sec: 86,551 | mfu: 4.4% | epoch: 1 | remaining: 158s    
step 00198 (47.3%) | loss: 3.849008 | lrm: 1.00 | dt: 756ms | tok/sec: 86,685 | mfu: 4.4% | epoch: 1 | remaining: 157s    
step 00199 (47.5%) | loss: 3.838438 | lrm: 1.00 | dt: 756ms | tok/sec: 86,663 | mfu: 4.4% | epoch: 1 | remaining: 157s    
step 00200 (47.8%) | loss: 3.838884 | lrm: 1.00 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 156s    
step 00201 (48.0%) | loss: 3.841599 | lrm: 1.00 | dt: 756ms | tok/sec: 86,710 | mfu: 4.4% | epoch: 1 | remaining: 155s    
step 00202 (48.3%) | loss: 3.841761 | lrm: 1.00 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 154s    
step 00203 (48.5%) | loss: 3.860639 | lrm: 1.00 | dt: 756ms | tok/sec: 86,686 | mfu: 4.4% | epoch: 1 | remaining: 154s    
step 00204 (48.8%) | loss: 3.860448 | lrm: 1.00 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 153s    
step 00205 (49.0%) | loss: 3.862248 | lrm: 1.00 | dt: 756ms | tok/sec: 86,680 | mfu: 4.4% | epoch: 1 | remaining: 152s    
step 00206 (49.3%) | loss: 3.854501 | lrm: 1.00 | dt: 756ms | tok/sec: 86,669 | mfu: 4.4% | epoch: 1 | remaining: 151s    
step 00207 (49.5%) | loss: 3.848487 | lrm: 1.00 | dt: 756ms | tok/sec: 86,693 | mfu: 4.4% | epoch: 1 | remaining: 151s    
step 00208 (49.8%) | loss: 3.857621 | lrm: 1.00 | dt: 756ms | tok/sec: 86,666 | mfu: 4.4% | epoch: 1 | remaining: 150s    
step 00209 (50.0%) | loss: 3.853704 | lrm: 1.00 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 149s    
step 00210 (50.3%) | loss: 3.848925 | lrm: 0.99 | dt: 756ms | tok/sec: 86,712 | mfu: 4.4% | epoch: 1 | remaining: 148s    
step 00211 (50.5%) | loss: 3.838162 | lrm: 0.99 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 148s    
step 00212 (50.8%) | loss: 3.826841 | lrm: 0.98 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 147s    
step 00213 (51.0%) | loss: 3.838363 | lrm: 0.98 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 146s    
step 00214 (51.3%) | loss: 3.833249 | lrm: 0.97 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 145s    
step 00215 (51.5%) | loss: 3.824806 | lrm: 0.97 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 145s    
step 00216 (51.8%) | loss: 3.803931 | lrm: 0.96 | dt: 756ms | tok/sec: 86,674 | mfu: 4.4% | epoch: 1 | remaining: 144s    
step 00217 (52.0%) | loss: 3.799947 | lrm: 0.96 | dt: 756ms | tok/sec: 86,669 | mfu: 4.4% | epoch: 1 | remaining: 143s    
step 00218 (52.3%) | loss: 3.790643 | lrm: 0.95 | dt: 756ms | tok/sec: 86,632 | mfu: 4.4% | epoch: 1 | remaining: 142s    
step 00219 (52.5%) | loss: 3.785028 | lrm: 0.95 | dt: 814ms | tok/sec: 80,499 | mfu: 4.1% | epoch: 1 | remaining: 142s    
step 00220 (52.8%) | loss: 3.780916 | lrm: 0.94 | dt: 757ms | tok/sec: 86,607 | mfu: 4.4% | epoch: 1 | remaining: 141s    
step 00221 (53.1%) | loss: 3.781829 | lrm: 0.94 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 140s    
step 00222 (53.3%) | loss: 3.787122 | lrm: 0.93 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 139s    
step 00223 (53.6%) | loss: 3.775428 | lrm: 0.93 | dt: 756ms | tok/sec: 86,712 | mfu: 4.4% | epoch: 1 | remaining: 139s    
step 00224 (53.8%) | loss: 3.794258 | lrm: 0.92 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 138s    
step 00225 (54.1%) | loss: 3.788471 | lrm: 0.92 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 137s    
step 00226 (54.3%) | loss: 3.791765 | lrm: 0.91 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 136s    
step 00227 (54.6%) | loss: 3.796846 | lrm: 0.91 | dt: 756ms | tok/sec: 86,669 | mfu: 4.4% | epoch: 1 | remaining: 135s    
step 00228 (54.8%) | loss: 3.792474 | lrm: 0.90 | dt: 756ms | tok/sec: 86,708 | mfu: 4.4% | epoch: 1 | remaining: 135s    
step 00229 (55.1%) | loss: 3.785058 | lrm: 0.90 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 134s    
step 00230 (55.3%) | loss: 3.780067 | lrm: 0.89 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 133s    
step 00231 (55.6%) | loss: 3.787644 | lrm: 0.89 | dt: 756ms | tok/sec: 86,685 | mfu: 4.4% | epoch: 1 | remaining: 132s    
step 00232 (55.8%) | loss: 3.795850 | lrm: 0.88 | dt: 756ms | tok/sec: 86,695 | mfu: 4.4% | epoch: 1 | remaining: 132s    
step 00233 (56.1%) | loss: 3.792756 | lrm: 0.88 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 131s    
step 00234 (56.3%) | loss: 3.782654 | lrm: 0.87 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 130s    
step 00235 (56.6%) | loss: 3.756860 | lrm: 0.87 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 129s    
step 00236 (56.9%) | loss: 3.744741 | lrm: 0.86 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 129s    
step 00237 (57.1%) | loss: 3.748199 | lrm: 0.86 | dt: 756ms | tok/sec: 86,658 | mfu: 4.4% | epoch: 1 | remaining: 128s    
step 00238 (57.4%) | loss: 3.759848 | lrm: 0.85 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 127s    
step 00239 (57.6%) | loss: 3.759972 | lrm: 0.85 | dt: 756ms | tok/sec: 86,713 | mfu: 4.4% | epoch: 1 | remaining: 126s    
step 00240 (57.9%) | loss: 3.768390 | lrm: 0.84 | dt: 756ms | tok/sec: 86,701 | mfu: 4.4% | epoch: 1 | remaining: 126s    
step 00241 (58.1%) | loss: 3.767327 | lrm: 0.84 | dt: 769ms | tok/sec: 85,170 | mfu: 4.3% | epoch: 1 | remaining: 125s    
step 00242 (58.4%) | loss: 3.763171 | lrm: 0.83 | dt: 799ms | tok/sec: 82,016 | mfu: 4.2% | epoch: 1 | remaining: 124s    
step 00243 (58.6%) | loss: 3.754682 | lrm: 0.83 | dt: 756ms | tok/sec: 86,630 | mfu: 4.4% | epoch: 1 | remaining: 123s    
step 00244 (58.9%) | loss: 3.726596 | lrm: 0.82 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 123s    
step 00245 (59.1%) | loss: 3.734136 | lrm: 0.82 | dt: 756ms | tok/sec: 86,683 | mfu: 4.4% | epoch: 1 | remaining: 122s    
step 00246 (59.4%) | loss: 3.736428 | lrm: 0.81 | dt: 756ms | tok/sec: 86,682 | mfu: 4.4% | epoch: 1 | remaining: 121s    
step 00247 (59.6%) | loss: 3.727111 | lrm: 0.81 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 120s    
step 00248 (59.9%) | loss: 3.724774 | lrm: 0.80 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 120s    
step 00249 (60.1%) | loss: 3.717686 | lrm: 0.80 | dt: 756ms | tok/sec: 86,691 | mfu: 4.4% | epoch: 1 | remaining: 119s    
step 00250 (60.4%) | loss: 3.717828 | lrm: 0.79 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 118s    
step 00251 (60.6%) | loss: 3.706624 | lrm: 0.79 | dt: 756ms | tok/sec: 86,707 | mfu: 4.4% | epoch: 1 | remaining: 117s    
step 00252 (60.9%) | loss: 3.703963 | lrm: 0.78 | dt: 756ms | tok/sec: 86,705 | mfu: 4.4% | epoch: 1 | remaining: 117s    
step 00253 (61.2%) | loss: 3.706093 | lrm: 0.78 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 116s    
step 00254 (61.4%) | loss: 3.715897 | lrm: 0.77 | dt: 756ms | tok/sec: 86,706 | mfu: 4.4% | epoch: 1 | remaining: 115s    
step 00255 (61.7%) | loss: 3.714475 | lrm: 0.77 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 114s    
step 00256 (61.9%) | loss: 3.705568 | lrm: 0.76 | dt: 756ms | tok/sec: 86,653 | mfu: 4.4% | epoch: 1 | remaining: 114s    
step 00257 (62.2%) | loss: 3.711546 | lrm: 0.76 | dt: 756ms | tok/sec: 86,686 | mfu: 4.4% | epoch: 1 | remaining: 113s    
step 00258 (62.4%) | loss: 3.701997 | lrm: 0.75 | dt: 756ms | tok/sec: 86,687 | mfu: 4.4% | epoch: 1 | remaining: 112s    
step 00259 (62.7%) | loss: 3.681003 | lrm: 0.75 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 111s    
step 00260 (62.9%) | loss: 3.679384 | lrm: 0.74 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 110s    
step 00261 (63.2%) | loss: 3.687308 | lrm: 0.74 | dt: 756ms | tok/sec: 86,696 | mfu: 4.4% | epoch: 1 | remaining: 110s    
step 00262 (63.4%) | loss: 3.677269 | lrm: 0.73 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 109s    
step 00263 (63.7%) | loss: 3.676706 | lrm: 0.73 | dt: 756ms | tok/sec: 86,674 | mfu: 4.4% | epoch: 1 | remaining: 108s    
step 00264 (63.9%) | loss: 3.680260 | lrm: 0.72 | dt: 785ms | tok/sec: 83,524 | mfu: 4.2% | epoch: 1 | remaining: 107s    
step 00265 (64.2%) | loss: 3.688150 | lrm: 0.72 | dt: 800ms | tok/sec: 81,897 | mfu: 4.2% | epoch: 1 | remaining: 107s    
step 00266 (64.5%) | loss: 3.689656 | lrm: 0.71 | dt: 756ms | tok/sec: 86,641 | mfu: 4.4% | epoch: 1 | remaining: 106s    
step 00267 (64.7%) | loss: 3.694996 | lrm: 0.71 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 105s    
step 00268 (65.0%) | loss: 3.688798 | lrm: 0.70 | dt: 756ms | tok/sec: 86,711 | mfu: 4.4% | epoch: 1 | remaining: 104s    
step 00269 (65.2%) | loss: 3.691834 | lrm: 0.70 | dt: 756ms | tok/sec: 86,690 | mfu: 4.4% | epoch: 1 | remaining: 104s    
step 00270 (65.5%) | loss: 3.694129 | lrm: 0.69 | dt: 756ms | tok/sec: 86,665 | mfu: 4.4% | epoch: 1 | remaining: 103s    
step 00271 (65.7%) | loss: 3.686940 | lrm: 0.69 | dt: 756ms | tok/sec: 86,670 | mfu: 4.4% | epoch: 1 | remaining: 102s    
step 00272 (66.0%) | loss: 3.681647 | lrm: 0.68 | dt: 756ms | tok/sec: 86,691 | mfu: 4.4% | epoch: 1 | remaining: 101s    
step 00273 (66.2%) | loss: 3.678502 | lrm: 0.68 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 101s    
step 00274 (66.5%) | loss: 3.677077 | lrm: 0.67 | dt: 756ms | tok/sec: 86,655 | mfu: 4.4% | epoch: 1 | remaining: 100s    
step 00275 (66.7%) | loss: 3.667025 | lrm: 0.67 | dt: 756ms | tok/sec: 86,703 | mfu: 4.4% | epoch: 1 | remaining: 99s    
step 00276 (67.0%) | loss: 3.656163 | lrm: 0.66 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 98s    
step 00277 (67.2%) | loss: 3.657849 | lrm: 0.66 | dt: 756ms | tok/sec: 86,698 | mfu: 4.4% | epoch: 1 | remaining: 98s    
step 00278 (67.5%) | loss: 3.649665 | lrm: 0.65 | dt: 756ms | tok/sec: 86,702 | mfu: 4.4% | epoch: 1 | remaining: 97s    
step 00279 (67.7%) | loss: 3.654864 | lrm: 0.65 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 96s    
step 00280 (68.0%) | loss: 3.646108 | lrm: 0.64 | dt: 756ms | tok/sec: 86,710 | mfu: 4.4% | epoch: 1 | remaining: 95s    
step 00281 (68.2%) | loss: 3.637511 | lrm: 0.64 | dt: 756ms | tok/sec: 86,709 | mfu: 4.4% | epoch: 1 | remaining: 95s    
step 00282 (68.5%) | loss: 3.643316 | lrm: 0.63 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 94s    
step 00283 (68.7%) | loss: 3.652216 | lrm: 0.63 | dt: 756ms | tok/sec: 86,684 | mfu: 4.4% | epoch: 1 | remaining: 93s    
step 00284 (69.0%) | loss: 3.658073 | lrm: 0.62 | dt: 756ms | tok/sec: 86,652 | mfu: 4.4% | epoch: 1 | remaining: 92s    
step 00285 (69.2%) | loss: 3.662173 | lrm: 0.62 | dt: 756ms | tok/sec: 86,700 | mfu: 4.4% | epoch: 1 | remaining: 92s    
step 00286 (69.5%) | loss: 3.650742 | lrm: 0.61 | dt: 756ms | tok/sec: 86,685 | mfu: 4.4% | epoch: 1 | remaining: 91s    
step 00287 (69.7%) | loss: 3.651598 | lrm: 0.61 | dt: 784ms | tok/sec: 83,559 | mfu: 4.3% | epoch: 1 | remaining: 90s    
step 00288 (70.0%) | loss: 3.643793 | lrm: 0.60 | dt: 782ms | tok/sec: 83,857 | mfu: 4.3% | epoch: 1 | remaining: 89s    
step 00289 (70.3%) | loss: 3.637231 | lrm: 0.59 | dt: 761ms | tok/sec: 86,167 | mfu: 4.4% | epoch: 1 | remaining: 88s    
step 00290 (70.5%) | loss: 3.634494 | lrm: 0.59 | dt: 756ms | tok/sec: 86,704 | mfu: 4.4% | epoch: 1 | remaining: 88s    
step 00291 (70.8%) | loss: 3.636091 | lrm: 0.58 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 87s    
step 00292 (71.0%) | loss: 3.629431 | lrm: 0.58 | dt: 756ms | tok/sec: 86,668 | mfu: 4.4% | epoch: 1 | remaining: 86s    
step 00293 (71.3%) | loss: 3.621038 | lrm: 0.57 | dt: 756ms | tok/sec: 86,657 | mfu: 4.4% | epoch: 1 | remaining: 85s    
step 00294 (71.5%) | loss: 3.607243 | lrm: 0.57 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 85s    
step 00295 (71.8%) | loss: 3.594384 | lrm: 0.56 | dt: 756ms | tok/sec: 86,684 | mfu: 4.4% | epoch: 1 | remaining: 84s    
step 00296 (72.0%) | loss: 3.607453 | lrm: 0.56 | dt: 756ms | tok/sec: 86,679 | mfu: 4.4% | epoch: 1 | remaining: 83s    
step 00297 (72.3%) | loss: 3.608110 | lrm: 0.55 | dt: 756ms | tok/sec: 86,690 | mfu: 4.4% | epoch: 1 | remaining: 82s    
step 00298 (72.5%) | loss: 3.605698 | lrm: 0.55 | dt: 756ms | tok/sec: 86,695 | mfu: 4.4% | epoch: 1 | remaining: 82s    
step 00299 (72.8%) | loss: 3.604079 | lrm: 0.54 | dt: 756ms | tok/sec: 86,694 | mfu: 4.4% | epoch: 1 | remaining: 81s    
step 00300 (73.0%) | loss: 3.597329 | lrm: 0.54 | dt: 756ms | tok/sec: 86,697 | mfu: 4.4% | epoch: 1 | remaining: 80s    
step 00301 (73.3%) | loss: 3.602663 | lrm: 0.53 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 79s    
step 00302 (73.5%) | loss: 3.601875 | lrm: 0.53 | dt: 756ms | tok/sec: 86,707 | mfu: 4.4% | epoch: 1 | remaining: 79s    
step 00303 (73.8%) | loss: 3.608203 | lrm: 0.52 | dt: 756ms | tok/sec: 86,666 | mfu: 4.4% | epoch: 1 | remaining: 78s    
step 00304 (74.0%) | loss: 3.612006 | lrm: 0.52 | dt: 756ms | tok/sec: 86,688 | mfu: 4.4% | epoch: 1 | remaining: 77s    
step 00305 (74.3%) | loss: 3.602394 | lrm: 0.51 | dt: 756ms | tok/sec: 86,691 | mfu: 4.4% | epoch: 1 | remaining: 76s    
step 00306 (74.6%) | loss: 3.597314 | lrm: 0.51 | dt: 756ms | tok/sec: 86,689 | mfu: 4.4% | epoch: 1 | remaining: 76s    
step 00307 (74.8%) | loss: 3.594574 | lrm: 0.50 | dt: 756ms | tok/sec: 86,686 | mfu: 4.4% | epoch: 1 | remaining: 75s    
step 00308 (75.1%) | loss: 3.593649 | lrm: 0.50 | dt: 756ms | tok/sec: 86,690 | mfu: 4.4% | epoch: 1 | remaining: 74s    
step 00309 (75.3%) | loss: 3.569579 | lrm: 0.49 | dt: 756ms | tok/sec: 86,669 | mfu: 4.4% | epoch: 1 | remaining: 73s    
step 00310 (75.6%) | loss: 3.578417 | lrm: 0.49 | dt: 784ms | tok/sec: 83,584 | mfu: 4.3% | epoch: 1 | remaining: 73s    
step 00311 (75.8%) | loss: 3.578152 | lrm: 0.48 | dt: 791ms | tok/sec: 82,877 | mfu: 4.2% | epoch: 1 | remaining: 72s    
step 00312 (76.1%) | loss: 3.574693 | lrm: 0.48 | dt: 760ms | tok/sec: 86,237 | mfu: 4.4% | epoch: 1 | remaining: 71s    
step 00313 (76.3%) | loss: 3.575447 | lrm: 0.47 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 70s    
step 00314 (76.6%) | loss: 3.572187 | lrm: 0.47 | dt: 756ms | tok/sec: 86,699 | mfu: 4.4% | epoch: 1 | remaining: 69s    
